ciudad,temperatura,descripcion,humedad,viento,presion,created_at,nivel,congestion,mensaje
Madrid,36.5,cielo claro,14,8.7,,2024-07-04 17:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,32.8,cielo claro,44,17.2,,2024-07-04 17:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,36.5,cielo claro,14,8.7,,2024-07-04 17:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,32.8,cielo claro,44,17.2,,2024-07-04 17:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,35.9,cielo claro,14,7.1,,2024-07-04 18:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,30.5,cielo claro,50,20.5,,2024-07-04 18:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,35.9,cielo claro,14,7.1,,2024-07-04 18:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,30.5,cielo claro,50,20.5,,2024-07-04 18:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,34.7,cielo claro,15,10.5,,2024-07-04 19:00:00,Bajo,28,Tráfico fluido.
Vigo,28.0,cielo claro,60,18.1,,2024-07-04 19:00:00,Bajo,20,Tráfico fluido.
Madrid,34.7,cielo claro,15,10.5,,2024-07-04 19:00:00,Bajo,28,Tráfico fluido.
Vigo,28.0,cielo claro,60,18.1,,2024-07-04 19:00:00,Bajo,20,Tráfico fluido.
Madrid,32.0,cielo claro,19,8.7,,2024-07-04 20:00:00,Bajo,23,Tráfico fluido.
Vigo,25.7,cielo claro,66,15.9,,2024-07-04 20:00:00,Bajo,20,Tráfico fluido.
Madrid,32.0,cielo claro,19,8.7,,2024-07-04 20:00:00,Bajo,23,Tráfico fluido.
Vigo,25.7,cielo claro,66,15.9,,2024-07-04 20:00:00,Bajo,20,Tráfico fluido.
Madrid,29.9,cielo claro,23,8.5,,2024-07-04 21:00:00,Bajo,23,Tráfico fluido.
Vigo,24.2,cielo claro,69,12.3,,2024-07-04 21:00:00,Bajo,20,Tráfico fluido.
Madrid,29.9,cielo claro,23,8.5,,2024-07-04 21:00:00,Bajo,23,Tráfico fluido.
Vigo,24.2,cielo claro,69,12.3,,2024-07-04 21:00:00,Bajo,20,Tráfico fluido.
Madrid,27.5,cielo claro,30,12.3,,2024-07-04 22:00:00,Bajo,28,Tráfico fluido.
Vigo,23.1,cielo claro,68,8.0,,2024-07-04 22:00:00,Bajo,15,Tráfico fluido.
Madrid,27.5,cielo claro,30,12.3,,2024-07-04 22:00:00,Bajo,28,Tráfico fluido.
Vigo,23.1,cielo claro,68,8.0,,2024-07-04 22:00:00,Bajo,15,Tráfico fluido.
Madrid,26.3,nublado,35,7.8,,2024-07-04 23:00:00,Bajo,23,Tráfico fluido.
Vigo,21.9,cielo claro,71,4.3,,2024-07-04 23:00:00,Bajo,15,Tráfico fluido.
Madrid,26.3,nublado,35,7.8,,2024-07-04 23:00:00,Bajo,23,Tráfico fluido.
Vigo,21.9,cielo claro,71,4.3,,2024-07-04 23:00:00,Bajo,15,Tráfico fluido.
Madrid,25.7,nublado,36,4.1,,2024-07-05 00:00:00,Bajo,23,Tráfico fluido.
Vigo,20.8,cielo claro,77,5.1,,2024-07-05 00:00:00,Bajo,15,Tráfico fluido.
Madrid,25.7,nublado,36,4.1,,2024-07-05 00:00:00,Bajo,23,Tráfico fluido.
Vigo,20.8,cielo claro,77,5.1,,2024-07-05 00:00:00,Bajo,15,Tráfico fluido.
Madrid,25.1,cielo claro,37,4.4,,2024-07-05 01:00:00,Bajo,23,Tráfico fluido.
Vigo,20.6,cielo claro,72,4.2,,2024-07-05 01:00:00,Bajo,15,Tráfico fluido.
Madrid,25.1,cielo claro,37,4.4,,2024-07-05 01:00:00,Bajo,23,Tráfico fluido.
Vigo,20.6,cielo claro,72,4.2,,2024-07-05 01:00:00,Bajo,15,Tráfico fluido.
Madrid,23.3,cielo claro,45,11.5,,2024-07-05 02:00:00,Bajo,28,Tráfico fluido.
Vigo,19.9,cielo claro,77,2.6,,2024-07-05 02:00:00,Bajo,15,Tráfico fluido.
Madrid,23.3,cielo claro,45,11.5,,2024-07-05 02:00:00,Bajo,28,Tráfico fluido.
Vigo,19.9,cielo claro,77,2.6,,2024-07-05 02:00:00,Bajo,15,Tráfico fluido.
Madrid,22.3,cielo claro,48,11.3,,2024-07-05 03:00:00,Bajo,28,Tráfico fluido.
Vigo,19.8,cielo claro,76,2.4,,2024-07-05 03:00:00,Bajo,15,Tráfico fluido.
Madrid,22.3,cielo claro,48,11.3,,2024-07-05 03:00:00,Bajo,28,Tráfico fluido.
Vigo,19.8,cielo claro,76,2.4,,2024-07-05 03:00:00,Bajo,15,Tráfico fluido.
Madrid,21.4,cielo claro,52,10.8,,2024-07-05 04:00:00,Bajo,28,Tráfico fluido.
Vigo,19.1,cielo claro,77,3.4,,2024-07-05 04:00:00,Bajo,15,Tráfico fluido.
Madrid,21.4,cielo claro,52,10.8,,2024-07-05 04:00:00,Bajo,28,Tráfico fluido.
Vigo,19.1,cielo claro,77,3.4,,2024-07-05 04:00:00,Bajo,15,Tráfico fluido.
Madrid,20.3,cielo claro,57,10.5,,2024-07-05 05:00:00,Bajo,28,Tráfico fluido.
Vigo,18.5,cielo claro,80,0.4,,2024-07-05 05:00:00,Bajo,15,Tráfico fluido.
Madrid,20.3,cielo claro,57,10.5,,2024-07-05 05:00:00,Bajo,28,Tráfico fluido.
Vigo,18.5,cielo claro,80,0.4,,2024-07-05 05:00:00,Bajo,15,Tráfico fluido.
Madrid,20.8,cielo claro,57,11.0,,2024-07-05 06:00:00,Bajo,28,Tráfico fluido.
Vigo,18.4,cielo claro,82,2.5,,2024-07-05 06:00:00,Bajo,15,Tráfico fluido.
Madrid,20.8,cielo claro,57,11.0,,2024-07-05 06:00:00,Bajo,28,Tráfico fluido.
Vigo,18.4,cielo claro,82,2.5,,2024-07-05 06:00:00,Bajo,15,Tráfico fluido.
Madrid,23.4,cielo claro,48,10.4,,2024-07-05 07:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,20.2,cielo claro,74,3.6,,2024-07-05 07:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,23.4,cielo claro,48,10.4,,2024-07-05 07:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,20.2,cielo claro,74,3.6,,2024-07-05 07:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,26.1,cielo claro,34,11.7,,2024-07-05 08:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,21.9,cielo claro,64,6.3,,2024-07-05 08:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,26.1,cielo claro,34,11.7,,2024-07-05 08:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,21.9,cielo claro,64,6.3,,2024-07-05 08:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,28.0,cielo claro,29,10.5,,2024-07-05 09:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,23.8,cielo claro,62,8.2,,2024-07-05 09:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,28.0,cielo claro,29,10.5,,2024-07-05 09:00:00,Medio,58,Condiciones normales de tráfico.
Vigo,23.8,cielo claro,62,8.2,,2024-07-05 09:00:00,Medio,45,Condiciones normales de tráfico.
Madrid,30.2,cielo claro,24,9.1,,2024-07-05 10:00:00,Bajo,23,Tráfico fluido.
Vigo,26.1,cielo claro,59,11.0,,2024-07-05 10:00:00,Bajo,20,Tráfico fluido.
Madrid,30.2,cielo claro,24,9.1,,2024-07-05 10:00:00,Bajo,23,Tráfico fluido.
Vigo,26.1,cielo claro,59,11.0,,2024-07-05 10:00:00,Bajo,20,Tráfico fluido.
Madrid,32.3,cielo claro,21,7.9,,2024-07-05 11:00:00,Bajo,23,Tráfico fluido.
Vigo,28.2,cielo claro,54,13.9,,2024-07-05 11:00:00,Bajo,20,Tráfico fluido.
Madrid,32.3,cielo claro,21,7.9,,2024-07-05 11:00:00,Bajo,23,Tráfico fluido.
Vigo,28.2,cielo claro,54,13.9,,2024-07-05 11:00:00,Bajo,20,Tráfico fluido.
Madrid,34.4,cielo claro,18,6.6,,2024-07-05 12:00:00,Bajo,23,Tráfico fluido.
Vigo,29.5,nublado,51,17.3,,2024-07-05 12:00:00,Bajo,20,Tráfico fluido.
Madrid,34.4,cielo claro,18,6.6,,2024-07-05 12:00:00,Bajo,23,Tráfico fluido.
Vigo,29.5,nublado,51,17.3,,2024-07-05 12:00:00,Bajo,20,Tráfico fluido.
Madrid,36.4,cielo claro,17,7.3,,2024-07-05 13:00:00,Bajo,23,Tráfico fluido.
Vigo,30.0,cielo claro,49,17.7,,2024-07-05 13:00:00,Bajo,20,Tráfico fluido.
Madrid,36.4,cielo claro,17,7.3,,2024-07-05 13:00:00,Bajo,23,Tráfico fluido.
Vigo,30.0,cielo claro,49,17.7,,2024-07-05 13:00:00,Bajo,20,Tráfico fluido.
Madrid,38.1,cielo claro,15,9.0,,2024-07-05 14:00:00,Bajo,23,Tráfico fluido.
Vigo,30.1,cielo claro,50,19.0,,2024-07-05 14:00:00,Bajo,20,Tráfico fluido.
Madrid,38.1,cielo claro,15,9.0,,2024-07-05 14:00:00,Bajo,23,Tráfico fluido.
Vigo,30.1,cielo claro,50,19.0,,2024-07-05 14:00:00,Bajo,20,Tráfico fluido.
Madrid,38.3,nublado,14,12.4,,2024-07-05 15:00:00,Bajo,28,Tráfico fluido.
Vigo,29.6,cielo claro,51,20.0,,2024-07-05 15:00:00,Bajo,20,Tráfico fluido.
Madrid,38.3,nublado,14,12.4,,2024-07-05 15:00:00,Bajo,28,Tráfico fluido.
Vigo,29.6,cielo claro,51,20.0,,2024-07-05 15:00:00,Bajo,20,Tráfico fluido.
Madrid,38.1,nublado,14,15.5,,2024-07-05 16:00:00,Alto,63,Tráfico pesado.
Vigo,28.9,cielo claro,51,20.7,,2024-07-05 16:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,38.1,nublado,14,15.5,,2024-07-05 16:00:00,Alto,63,Tráfico pesado.
Vigo,28.9,cielo claro,51,20.7,,2024-07-05 16:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,37.0,cielo claro,15,15.9,,2024-07-05 17:00:00,Alto,63,Tráfico pesado.
Vigo,27.8,cielo claro,52,20.3,,2024-07-05 17:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,37.0,cielo claro,15,15.9,,2024-07-05 17:00:00,Alto,63,Tráfico pesado.
Vigo,27.8,cielo claro,52,20.3,,2024-07-05 17:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,36.9,nublado,15,17.0,,2024-07-05 18:00:00,Alto,63,Tráfico pesado.
Vigo,26.1,cielo claro,53,20.9,,2024-07-05 18:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,36.9,nublado,15,17.0,,2024-07-05 18:00:00,Alto,63,Tráfico pesado.
Vigo,26.1,cielo claro,53,20.9,,2024-07-05 18:00:00,Medio,55,Condiciones normales de tráfico.
Madrid,35.5,nublado,16,19.1,,2024-07-05 19:00:00,Bajo,28,Tráfico fluido.
Vigo,23.8,cielo claro,59,19.9,,2024-07-05 19:00:00,Bajo,20,Tráfico fluido.
Madrid,35.5,nublado,16,19.1,,2024-07-05 19:00:00,Bajo,28,Tráfico fluido.
Vigo,23.8,cielo claro,59,19.9,,2024-07-05 19:00:00,Bajo,20,Tráfico fluido.
Madrid,31.9,nublado,21,8.9,,2024-07-05 20:00:00,Bajo,23,Tráfico fluido.
Vigo,21.4,cielo claro,65,18.6,,2024-07-05 20:00:00,Bajo,20,Tráfico fluido.
Madrid,31.9,nublado,21,8.9,,2024-07-05 20:00:00,Bajo,23,Tráfico fluido.
Vigo,21.4,cielo claro,65,18.6,,2024-07-05 20:00:00,Bajo,20,Tráfico fluido.
Madrid,28.4,nublado,33,16.1,,2024-07-05 21:00:00,Bajo,28,Tráfico fluido.
Vigo,19.7,cielo claro,70,18.9,,2024-07-05 21:00:00,Bajo,20,Tráfico fluido.
Madrid,28.4,nublado,33,16.1,,2024-07-05 21:00:00,Bajo,28,Tráfico fluido.
Vigo,19.7,cielo claro,70,18.9,,2024-07-05 21:00:00,Bajo,20,Tráfico fluido.
Madrid,28.1,cielo claro,32,14.0,,2024-07-05 22:00:00,Bajo,28,Tráfico fluido.
Vigo,18.6,cielo claro,76,17.7,,2024-07-05 22:00:00,Bajo,20,Tráfico fluido.
Madrid,28.1,cielo claro,32,14.0,,2024-07-05 22:00:00,Bajo,28,Tráfico fluido.
Vigo,18.6,cielo claro,76,17.7,,2024-07-05 22:00:00,Bajo,20,Tráfico fluido.
Madrid,26.8,cielo claro,36,8.7,,2024-07-05 23:00:00,Bajo,23,Tráfico fluido.
Vigo,17.9,nublado,82,16.6,,2024-07-05 23:00:00,Bajo,20,Tráfico fluido.
Madrid,26.8,cielo claro,36,8.7,,2024-07-05 23:00:00,Bajo,23,Tráfico fluido.
Vigo,17.9,nublado,82,16.6,,2024-07-05 23:00:00,Bajo,20,Tráfico fluido.
